2020-07-03 09:27:31.619  INFO [shop,,,] 20488 --- [Thread-86] .b.c.e.AwaitingNonWebApplicationListener :  [Dubbo] Current Spring Boot Application is about to shutdown...
2020-07-03 09:27:31.669  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: dubbo://192.168.10.23:6098/com.angsi.shop.service.CompanyService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.CompanyService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.CompanyService&methods=deleteCompany,updateCompany,findAllCompany,findCompany,createCompany&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770279, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.674  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url dubbo://192.168.10.23:6098/com.angsi.shop.service.CompanyService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.CompanyService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.CompanyService&methods=deleteCompany,updateCompany,findAllCompany,findCompany,createCompany&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770279, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.674  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: dubbo://192.168.10.23:6098/com.angsi.shop.service.StoreTypeService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.StoreTypeService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.StoreTypeService&methods=findStoreType,findAllStoreType,updateStoreType,deleteStoreType,createStoreType&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770654, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.677  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url dubbo://192.168.10.23:6098/com.angsi.shop.service.StoreTypeService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.StoreTypeService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.StoreTypeService&methods=findStoreType,findAllStoreType,updateStoreType,deleteStoreType,createStoreType&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770654, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.677  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.category.OperationCategoryService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.category.OperationCategoryService&lazy=false&methods=delCate,queryShopSpuPageInfo,updateCategory,addCategory,delAdvertisingById,queryCatPageInfo,discontinuedCateSpu,initShopCate,addAdvertising,queryCityOrCountrySpuPageInfo,updateAdvertising,queryAdvertisingPageInfo,queryOperationCateShopTreeFront&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748418, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.684  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.category.OperationCategoryService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.category.OperationCategoryService&lazy=false&methods=delCate,queryShopSpuPageInfo,updateCategory,addCategory,delAdvertisingById,queryCatPageInfo,discontinuedCateSpu,initShopCate,addAdvertising,queryCityOrCountrySpuPageInfo,updateAdvertising,queryAdvertisingPageInfo,queryOperationCateShopTreeFront&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748418, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.684  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: dubbo://192.168.10.23:6098/com.angsi.shop.service.ShopService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.ShopService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.ShopService&methods=updateFactory,createOrUpdateBusyConfiguration,updateShop,updateShopTime,updateSeatingArea,getOrderListByshopId,getShopAndShop,updateDiningTable,findAllShop,findShop,delete,createShop,getDiningTable,findShopTime,findAllSeatingArea,getSubShopByShopId,getBusyConfiguration,findShopById,getBigShopLists,createInventoryWarning,findShopInventoryWarning,getFirstFactories,updateInventoryWarning,getShopByIds,findSeatingArea,findSubShop,findBigShop,findAllBigShop,findAllSubShop,findAllFactory,findFactory,createBigShop,updateBigShopCategoryType,createSeatingArea,getSubShopsByShopId,getDiningTables,updateSubShop,updateBigShop,createFactory,createSubShop&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770590, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.691  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url dubbo://192.168.10.23:6098/com.angsi.shop.service.ShopService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.ShopService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.ShopService&methods=updateFactory,createOrUpdateBusyConfiguration,updateShop,updateShopTime,updateSeatingArea,getOrderListByshopId,getShopAndShop,updateDiningTable,findAllShop,findShop,delete,createShop,getDiningTable,findShopTime,findAllSeatingArea,getSubShopByShopId,getBusyConfiguration,findShopById,getBigShopLists,createInventoryWarning,findShopInventoryWarning,getFirstFactories,updateInventoryWarning,getShopByIds,findSeatingArea,findSubShop,findBigShop,findAllBigShop,findAllSubShop,findAllFactory,findFactory,createBigShop,updateBigShopCategoryType,createSeatingArea,getSubShopsByShopId,getDiningTables,updateSubShop,updateBigShop,createFactory,createSubShop&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770590, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.691  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: dubbo://192.168.10.23:6098/com.angsi.shop.service.BusinessConfigurationService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.BusinessConfigurationService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.BusinessConfigurationService&methods=createOrUpdateDeliveryConfiguration,createOrUpdate,createOrUpdateQrcodeConfiguration,findAll,createOrUpdateOrderConfiguration&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691769956, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.701  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url dubbo://192.168.10.23:6098/com.angsi.shop.service.BusinessConfigurationService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.BusinessConfigurationService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.BusinessConfigurationService&methods=createOrUpdateDeliveryConfiguration,createOrUpdate,createOrUpdateQrcodeConfiguration,findAll,createOrUpdateOrderConfiguration&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691769956, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.701  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.category.CategoryService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.category.CategoryService&lazy=false&methods=getNavById,delOption,getNewMetaAttrOption,updateBrand,getNavMetaByMetaClassId,updateAttr,getOption,getNavByIdList,makeAttrText,selectSuperPubNav,getAttr,listCategory,sort,sortNavMeta,addMetaOption,addAttr,addNavMeta,sortAttrByClassIdAndAttrName,updateMeta,getAllCategory,getMetaByMetaclassId,addMeta,delNavMeta,delAttr,parseAttrText,updateNav,delBrand,addBrand,addMetaAttr,getAll,getMetaAttrOption,getBrand,delMetaAttr,getPathByNavId,delMeta,updateNavByIdCondition,getClassIdForHere,addOption,updateOption,getMetaAttr,queryNavByIdList,getNavMeta,getNavMetaClassList,addNav,getMeta,getNavByMeta,delMetaAttrOption,getAllMeta,delNav,getCategoryByIdList&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748577, dubbo version: 2.7.3, current host: 192.168.10.23
